"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","318208"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","13.73"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","7872"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","34.79"
"0","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<float, 512, 64, 8, 0>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","24097920"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","57.22"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","140576"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","93.32"
"1","62842","python3.11","127.0.0.1","void kDequantizeBlockwise<__half, 512, 64, 8, 2>(float *, unsigned char *, float *, T1 *, int, int)","1","7","(64, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"2","62842","python3.11","127.0.0.1","ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn","1","7","(128, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","43277184"
"2","62842","python3.11","127.0.0.1","ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn","1","7","(128, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","80.70"
"2","62842","python3.11","127.0.0.1","ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn","1","7","(128, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","179040"
"2","62842","python3.11","127.0.0.1","ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn","1","7","(128, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","1048576"
